code,term
1089521000000106,Predominantly cortical dementia
111480006,Psychoactive substance-induced organic dementia
1148924004,Dementia due to deficiency of folic acid
1186724002,HtrA serine peptidase 1-related autosomal dominant cerebral small vessel disease
1186877003,Dementia due to vitamin E deficiency
1186879000,Dementia due to thiamine deficiency
1186880002,Dementia due to cobalamin deficiency
1186881003,Dementia due to niacin deficiency
1186883000,Dementia due to nutritional deficiency disorder
1186887004,Dementia caused by manganese and/or manganese compound
1187004001,Chronic traumatic encephalopathy
1187126002,Integral membrane protein 2B related amyloidosis
1259465009,Dementia due to hepatic failure
1259467001,Dementia due to hypercalcemia
1259471003,Dementia due to Hashimoto encephalopathy
1259473000,Dementia due to fragile X syndrome
1259492003,Dementia due to metastatic malignant neoplasm to brain
1259494002,Dementia due to leukodystrophy
1259496000,Dementia due to Lyme disease
1259511006,Dementia due to Wilson disease
1259513009,Dementia due to Whipple disease
1259517005,Dementia due to systemic lupus erythematosus
1259519008,Dementia due to subacute sclerosing panencephalitis
1259524006,Dementia due to trypanosomiasis
1259579003,Dementia due to Behcet syndrome
1259581001,Dementia due to celiac disease
1259584009,Dementia due to and following dialysis
1259586006,Dementia due to autoimmune encephalitis
1259591007,Dementia due to acquired hypothyroidism
1259656006,Dementia due to renal failure
1259661008,Dementia due to inflammatory disorder of musculoskeletal system
1259667007,Dementia due to paraneoplastic encephalitis
1259675001,Dementia due to obstructive hydrocephalus
1259677009,Dementia due to multiple system atrophy
1259679007,Dementia due to atypical pantothenate kinase associated neurodegeneration
1259990004,Dementia due to classical pantothenate kinase associated neurodegeneration
1260328002,Familial multiple system deposition of tau protein
12741002,AIDS with dementia
130121000119104,Dementia due to Rett syndrome
191474008,Alcoholic dementia: [other] or [NOS]
191493005,Dementia caused by drug
192167008,[X]Dementia: [multi-infarct] or [predominantly cortical]
192176001,[X]Dementia in Huntington's disease
192178000,Acquired immune deficiency syndrome dementia complex
20484008,Prion disease
229672009,Language disorder of dementia
230281007,Argyrophilic grain disease
230282000,Post-traumatic dementia
230290000,Epileptic dementia
231463001,Alcoholic dementia NOS
268615009,Other alcoholic dementia
278857002,Dementia of frontal lobe type
281004,Dementia associated with alcoholism
32875003,Inhalant-induced persisting dementia
390000004,Binswanger's disease
414361000000104,[X]Dementia in Huntington's disease
420614009,Organic dementia with acquired immunodeficiency syndrome
421023003,Presenile dementia with acquired immunodeficiency syndrome
421529006,Dementia with acquired immunodeficiency syndrome
51928006,General paresis - neurosyphilis
544871000000102,Other alcoholic dementia
59651006,"Sedative, hypnotic AND/OR anxiolytic-induced persisting dementia"
62102009,AIDS with presenile dementia
62239001,Parkinson-dementia complex of Guam
671511000000100,Alcoholic dementia NOS
698624003,Dementia associated with cerebral lipidosis
698625002,Dementia associated with normal pressure hydrocephalus
698626001,Dementia associated with multiple sclerosis
698687007,Post-traumatic dementia with behavioral change
698725008,Dementia associated with neurosyphilis
698726009,Dementia associated with viral encephalitis
698781002,Dementia associated with cerebral anoxia
702421006,Familial encephalopathy with neuroserpin inclusion bodies
713488003,Presenile dementia co-occurrent with human immunodeficiency virus infection
713844000,Dementia co-occurrent with human immunodeficiency virus infection
715737004,Parkinsonism co-occurrent with dementia of Guadeloupe
721219005,Familial Alzheimer-like prion disease
721255002,Acquired prion disease
722977005,Dementia co-occurrent and due to neurocysticercosis
722978000,Toxic dementia
722979008,Dementia due to metabolic abnormality
722980006,Dementia due to chromosomal anomaly
724777003,Dementia due to infectious disease
733184002,Dementia caused by heavy metal exposure
733185001,Dementia following injury caused by exposure to ionizing radiation
733190003,Dementia due to primary malignant neoplasm of brain
733191004,Dementia due to chronic intracranial subdural hematoma
733192006,Dementia due to herpes encephalitis
733193001,Dementia co-occurrent and due to progressive multifocal leukoencephalopathy
733194007,Dementia co-occurrent and due to Down syndrome
762350007,Dementia due to prion disease
762351006,Dementia due to and following injury of head
762707000,Subcortical dementia
774069007,Protein kinase cAMP-dependent type I regulatory subunit beta-related neurodegenerative dementia with intermediate filaments
783161005,Familial dementia British type
783258000,Familial dementia Danish type
788898005,Dementia caused by volatile inhalant
788899002,Dementia due to pellagra
82371000119101,Dementia due to multiple sclerosis with altered behavior
82381000119103,Epileptic dementia with behavioral disturbance
82959004,Dementia paralytica juvenilis
840464007,Dementia due to carbon monoxide poisoning
840465008,Dementia due to iron deficiency
88339003,Dementia arising in the senium AND/OR presenium
90194001,AIDS with organic dementia
9345005,Dialysis dementia
