code,term
1089501000000102,Presenile dementia with psychosis
1089581000000107,Predominantly cortical dementia
12348006,Presenile dementia
1259476008,Dementia due to genetic disease
12741002,AIDS with dementia
138736007,H/O: dementia
154845000,Dementia (& [presenile] or [senile])
154846004,Uncomplicated senile dementia
154847008,Presenile dementia
154848003,Senile dementia with depressive or paranoid features
154849006,Senile dementia with delirium
154851005,Other senile/presenile dementia
15662003,Senile dementia
1591000119103,Dementia with behavioral disturbance
161465002,History of dementia
191449005,Uncomplicated senile dementia
191450005,Presenile dementia
191451009,Uncomplicated presenile dementia
191452002,Presenile dementia with delirium
191454001,Presenile dementia with paranoia
191455000,Presenile dementia with depression
191456004,Presenile dementia NOS
191457008,Senile dementia with depressive or paranoid features
191458003,Senile dementia with paranoia
191459006,Senile dementia with depression
191460001,Senile dementia with depressive or paranoid features NOS
191461002,Senile dementia with delirium
191474008,Alcoholic dementia: [other] or [NOS]
191519005,Dementia associated with another disease
192167008,[X]Dementia: [multi-infarct] or [predominantly cortical]
192173009,[X]Dementia in other diseases classified elsewhere
192176001,[X]Dementia in Huntington's disease
192178000,Acquired immune deficiency syndrome dementia complex
192179008,[X]Dementia in other specified diseases classif elsewhere
192180006,[X] Dementia: [unspecif] or [presenile NOS (including presenile psychosis NOS)] or [primary degenerative NOS] or [senile NOS (including senile psychosis NOS)] or [senile depressed or paranoid type]
192184002,[X]Delirium superimposed on dementia
22381000119105,Primary degenerative dementia
230283005,Punch drunk syndrome
230289009,Patchy dementia
230290000,Epileptic dementia
231463001,Alcoholic dementia NOS
2421000119107,Hallucinations co-occurrent and due to late onset dementia
266134000,Tabes dorsalis
268615009,Other alcoholic dementia
268675002,[X]Unspecified dementia
268744003,Dementia (& [presenile] or [senile])
279982005,Cerebral degeneration presenting primarily with dementia
286932008,Other senile/presenile dementia
31081000119101,Presenile dementia with delusions
371024007,Senile dementia with delusion
371026009,Senile dementia with psychosis
390000004,Binswanger's disease
397791000000109,[X]Dementia in other specified diseases classified elsewhere
402771000000101,[X]Delirium superimposed on dementia
413681000000103,[X] Dementia: [unspecif] or [presenile NOS (including presenile psychosis NOS)] or [primary degenerative NOS] or [senile NOS (including senile psychosis NOS)] or [senile depressed or paranoid type]
414361000000104,[X]Dementia in Huntington's disease
464291000000103,[X]Dementia in other diseases classified elsewhere
471341000000106,[X]Unspecified dementia
52448006,Dementia
544871000000102,Other alcoholic dementia
613591000000100,Presenile dementia NOS
613601000000106,Senile dementia with depressive or paranoid features NOS
62102009,AIDS with presenile dementia
62239001,Parkinson-dementia complex of Guam
671511000000100,Alcoholic dementia NOS
698949001,Dementia in remission
700911000000100,Other senile/presenile dementia
723390000,Rapidly progressive dementia
724776007,Dementia due to disorder of central nervous system
724992007,Epilepsy co-occurrent and due to dementia
725898002,Delirium co-occurrent with dementia
733185001,Dementia following injury caused by exposure to ionizing radiation
788861009,Aggression due to dementia
788862002,Agitation due to dementia
789170003,Disinhibited behavior due to dementia
79341000119107,Mixed dementia
79358009,Transmissible virus dementia
88339003,Dementia arising in the senium AND/OR presenium
90194001,AIDS with organic dementia
